seed,prior_name,coordinate,is_active,theta_true_j,map_mean_j,posterior_sd_j,radius,log_prior_mass,log_post_mass,prior_mass,post_mass,log_mass_ratio,mass_ratio,hessian_condition_number,hessian_status,optimisation_status,hessian_device,covariance_device,linear_algebra_fallback,device_used,cuda_available,gpu_name
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,1e-06,-13.122364377409463,-13.004201700425737,1.9999979999907316e-06,2.250852104285735e-06,0.11816267698372585,1.1254271775752605,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,1.383648068032461e-06,-12.797641222304616,-12.679478161521608,2.767292307082059e-06,3.114387165984422e-06,0.11816306078300798,1.125427609513486,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,1.9144819761699575e-06,-12.472918214372065,-12.354754622485762,3.828956621876324e-06,4.309215786527199e-06,0.11816359188630265,1.1254282072319561,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,2.6489692876105295e-06,-12.14819541010351,-12.030031083187954,5.297924541181057e-06,5.962438100996397e-06,0.11816432691555612,1.1254290344549152,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,3.665241237079626e-06,-11.823472887627423,-11.705307543394863,7.3304556061915e-06,8.249915967766247e-06,0.11816534423256009,1.125430179373591,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,5.071403956558132e-06,-11.498750755023577,-11.3805840026547,1.0142756475040043e-05,1.1414980312883984e-05,0.11816675236887697,1.1254317641338145,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,7.017038286703823e-06,-11.174029161903244,-11.055860460095555,1.4033978096184013e-05,1.579431551662534e-05,0.11816870180768824,1.1254339580963135,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,9.709111468707553e-06,-10.849308315209663,-10.73113691405795,1.9418034404972157e-05,2.185377430961369e-05,0.11817140115171298,1.1254369960338437,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,1.3433993325988988e-05,-10.52458850132505,-10.40641336136401,2.6867625710802458e-05,3.0237933024181887e-05,0.1181751399610409,1.1254412038360486,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,1.8587918911465637e-05,-10.19987011646623,-10.08168979592304,3.717514681000902e-05,4.183865872668545e-05,0.11818032054318905,1.1254470342917604,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,2.571913809059347e-05,-9.875153708877038,-9.756966206078385,5.143695325571245e-05,5.788998227379387e-05,0.1181875027986532,1.1254551175689003,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,3.558623573050966e-05,-9.550440037117518,-9.432242569514418,7.116993876077332e-05,8.009936996595874e-05,0.11819746760309968,1.1254663325649377,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,4.9238826317067415e-05,-9.225730150759178,-9.107518843506487,9.847280386932052e-05,0.0001108293592570733,0.11821130725269136,1.1254819087323915,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,6.812920690579608e-05,-8.901025502014923,-8.7827949462595,0.0001362491310555881,0.00015334888379157352,0.11823055575542263,1.1255035727824854,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,9.426684551178853e-05,-8.576328100190999,-8.458070721179388,0.00018851591966406747,0.00021218103241814478,0.11825737901161126,1.1255337628580557,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.00013043213867190053,-8.251640725374168,-8.133345868469895,0.0002608302552166153,0.0002935842613344368,0.11829485690427255,1.1255759462820747,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.00018047217668271703,-7.926967224063486,-7.808619814180057,0.00036087922078897883,0.0004062183178549438,0.1183474098834294,1.125635100205663,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0002497099786006541,-7.602312918145759,-7.48389145950436,0.0004992952678127826,0.000562065897557339,0.11842145864139919,1.1257184551728883,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0003455107294592218,-7.277685170637281,-7.159158700848419,0.0006907827585755922,0.0007777085636245612,0.11852646978886217,1.1258366743666441,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.00047806525330073803,-6.953094168210774,-6.834417511096037,0.0009556735594739017,0.001076093945514593,0.11867665711473752,1.1260057734640925,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0006614740641230146,-6.628554003432354,-6.509660181058062,0.0013220734181456082,0.0014889856226162727,0.11889382237429214,1.1262503293537072,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0009152473108773893,-6.3040841712353,-6.184871954019506,0.001828820288249932,0.002060365357247615,0.11921221721579389,1.1266089787418407,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
0,laplace,0,False,0.0,0.10409463617381133,0.05353633216456265,0.0012663801734674035,-5.979711637668797,-5.860024587269288,0.002529555615623735,0.0028511735792452297,0.11968705039950844,1.127144057096444,1330.340879465356,positive_definite,converged,cpu,cpu,none,cpu,False,
