seed,prior_name,coordinate,is_active,mass_kind,mid_radius,slope,device_used,cuda_available,gpu_name,hessian_device,covariance_device,linear_algebra_fallback
0,laplace,0,False,post,0.00021228684221461945,1.000014830831621,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.00029373027909896976,1.0000283930767837,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0004064193331979246,1.000054356998203,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0005623413251903488,1.000104061696706,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0007780824881744396,1.0001992103289843,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0010765923315324529,1.000381333595719,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0014896248995834394,1.0007298694699847,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0020611166144016723,1.0013966376010952,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.0028518600215064775,1.002671332159745,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.003945970609056446,1.005105055053215,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.005459834609733819,1.0097400973109996,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.007554489609534959,1.0185256748167617,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.010452754953204337,1.0350283479194409,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.014462934196617901,1.0654994424205062,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.02001161095923095,1.1199772605761387,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.027689026841957096,1.2117103378776173,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.03831186849557289,1.3500012510734833,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.05301014282661308,1.5187247334322447,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.07334738170816793,1.640682642100806,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.1014869629957459,1.5560028277361477,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.14042224027954553,1.0923262988244686,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.19429496147158298,0.38698028019570674,cpu,False,,cpu,cpu,none
0,laplace,0,False,post,0.26883584806859695,0.030979545123281216,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,1.1762857085047242e-06,0.9999988185312185,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,1.6275654480267543e-06,0.9999983653078512,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,2.251977787758603e-06,0.9999977381158816,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,3.115944715284203e-06,0.9999968703239451,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,4.31137088539894e-06,0.999995669695735,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,5.965419996153637e-06,0.999994008333229,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,8.254041852680182e-06,0.9999917096801774,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,1.1420689062919996e-05,0.9999885291008778,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,1.5802214357508694e-05,0.9999841283549357,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,2.1864703366401715e-05,0.9999780392687013,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,3.025305457102455e-05,0.9999696141644475,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,4.185958050927868e-05,0.9999579568599097,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,5.7918927700312644e-05,0.999941827403743,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,8.013941241504928e-05,0.9999195102032126,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.00011088474316133949,0.9998886316068178,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.00015342546064946289,0.9998459075523733,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.00021228684221461945,0.999786794520322,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.00029373027909896976,0.9997050067652604,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0004064193331979246,0.999591848716694,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0005623413251903488,0.9994352920091533,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0007780824881744396,0.9992186998223487,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0010765923315324529,0.9989190645359082,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0014896248995834394,0.9985045744444855,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0020611166144016723,0.9979312568926781,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.0028518600215064775,0.9971383525722131,cpu,False,,cpu,cpu,none
0,laplace,1,True,prior,0.003945970609056446,0.9960419515958993,cpu,False,,cpu,cpu,none
