seed,dimension,epsilon,tau,family,objective,learned_means,learned_scales,learned_weights,learned_weight_component_2,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,"[1.4949555892891588,1.4951160689021759]","[1.0042388856605995,1.000589116479767]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5033698174620098,1.5091264749180007],[-0.0003133647912837168,0.0034621666801521885]]","[[1.000377032818848,0.9989918248914333],[0.09939084737612527,0.09928571714658807]]","[0.9493758893212187,0.050624110678781156]",0.050624110678781156,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,"[1.4432629308215834,1.429379298427124]","[1.024605198036539,1.0292655849041112]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.523121994457095,1.507684041449672],[-0.0007235377587741978,0.00927140496416924]]","[[0.9926041506783534,1.0002824390644829],[0.09737710742045382,0.10054441764129397]]","[0.948708394678344,0.05129160532165602]",0.05129160532165602,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,"[1.5000167269776987,1.496843735381248]","[0.9996791665462659,0.9997097907883105]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5031851663174423,1.5090834300224967],[0.0014172989026125596,0.0003268536082071694]]","[[1.0005643632433407,0.9990278617224061],[0.050628359200834805,0.04992284886978354]]","[0.9001136626863648,0.0998863373136352]",0.0998863373136352,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,"[1.3515229376806992,1.341198918078265]","[1.0480430334299662,1.051874770123735]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5124783097627579,1.5006610228012673],[-0.002136860921975695,-0.0021549404998913624]]","[[0.9929969855817978,0.9995437220250368],[0.05065112929207954,0.051463213191373924]]","[0.8950967664727311,0.10490323352726888]",0.10490323352726888,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,"[1.4892936655999327,1.4912673982612632]","[1.0053386807535314,1.0011406038495971]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5031682697860826,1.5090096838643694],[-3.139476292435316e-05,0.0027870869513448443]]","[[1.0005006390830011,0.9990634400166611],[0.09965861008984447,0.09942046536102365]]","[0.8985794837039852,0.10142051629601483]",0.10142051629601483,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,"[1.351536544994528,1.341330743188246]","[1.0484132307538718,1.0520956652450204]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5124292748689463,1.5003721834912396],[-0.002424685120807138,-0.0036578473706597825]]","[[0.9928639128461716,0.9997614264393726],[0.10016234064364553,0.10219291653392605]]","[0.8950691923003884,0.10493080769961152]",0.10493080769961152,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003981825055273,1.483808819498656,1.4940734307663044,1.5012699555864668,1.5017618319189752,1.5015030916924803,1.496536459199026,1.5031271034113023,1.4902208614386336,1.5062795736648362],[-0.001351300138014821,-0.0006360714432648722,-0.00020761547381223654,0.000605059266037922,-0.00016347408280442102,-0.0010228196398541242,0.0007285908193798448,0.0019542134832282922,0.0004960422505676132,-0.00036805910995234113]]","[[1.0035571026603476,0.9939653286890978,0.9995549408624671,1.0010547963134797,0.9986897638805486,0.9949682680952714,1.0050714990131246,0.9973878586144082,1.0006096339901815,1.0005202650744476],[0.05025041045584093,0.05034058412866767,0.049663613074684664,0.05014435633505768,0.04938300603270587,0.049655978848971695,0.049416413068656455,0.04961577374569978,0.05004028703442908,0.05014435815975447]]","[0.9900306641270177,0.00996933587298223]",0.00996933587298223,cpu,False,,cpu,cpu,65536,0.0,0.0
