seed,dimension,epsilon,tau,family,objective,radius,q_inside_count,q_total_count,q_mass_reliability,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,2,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.28284271247461906,3608,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,0.03535533905932738,18,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,0.05303300858899108,38,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,0.07071067811865477,66,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,0.10606601717798216,154,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,exclusive_kl,0.14142135623730953,273,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.03535533905932738,2878,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.05303300858899108,5612,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.07071067811865477,8270,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.10606601717798216,11826,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.14142135623730953,13100,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,0.03535533905932738,24,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,0.05303300858899108,48,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,0.07071067811865477,92,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,0.10606601717798216,196,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian,inclusive_kl,0.14142135623730953,359,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.03535533905932738,2912,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.05303300858899108,5690,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.07071067811865477,8391,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.10606601717798216,12062,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.14142135623730953,13406,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,0.07071067811865477,76,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,0.10606601717798216,163,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,0.14142135623730953,285,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,0.2121320343559643,655,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,exclusive_kl,0.28284271247461906,1153,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.07071067811865477,3036,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.10606601717798216,5896,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.14142135623730953,8686,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.2121320343559643,12440,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.28284271247461906,14033,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,0.07071067811865477,92,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,0.10606601717798216,195,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,0.14142135623730953,359,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,0.2121320343559643,805,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian,inclusive_kl,0.28284271247461906,1435,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.07071067811865477,3069,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.10606601717798216,5974,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.14142135623730953,8812,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.2121320343559643,12584,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.28284271247461906,14176,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,0.03535533905932738,16,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,0.05303300858899108,38,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,0.07071067811865477,69,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,0.10606601717798216,157,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,exclusive_kl,0.14142135623730953,281,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.03535533905932738,5750,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.05303300858899108,11216,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.07071067811865477,16492,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.10606601717798216,23506,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.14142135623730953,25933,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,0.03535533905932738,26,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,0.05303300858899108,62,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,0.07071067811865477,116,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,0.10606601717798216,261,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian,inclusive_kl,0.14142135623730953,462,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.03535533905932738,5883,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.05303300858899108,11490,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.07071067811865477,17028,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.10606601717798216,24431,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,0.14142135623730953,27148,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,0.07071067811865477,75,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,0.10606601717798216,162,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,0.14142135623730953,291,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,0.2121320343559643,662,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,exclusive_kl,0.28284271247461906,1166,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.07071067811865477,5992,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.10606601717798216,11643,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.14142135623730953,17150,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.2121320343559643,24366,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,0.28284271247461906,27105,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,0.07071067811865477,116,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,0.10606601717798216,263,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,0.14142135623730953,458,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,0.2121320343559643,1040,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian,inclusive_kl,0.28284271247461906,1852,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.07071067811865477,6030,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.10606601717798216,11768,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.14142135623730953,17394,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.2121320343559643,25015,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,0.28284271247461906,27957,262144,reliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,0.0790569415042095,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,0.11858541225631425,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,0.158113883008419,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,0.2371708245126285,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian,exclusive_kl,0.316227766016838,0,262144,unreliable,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,0.0790569415042095,27,262144,weak,cpu,False,,cpu,cpu,65536,0.0,0.0
