seed,dimension,epsilon,tau,family,objective,step,final_training_loss,estimated_DKL_q_p,estimated_DKL_p_q,estimated_cross_entropy_p_q,radius,target_local_mass,q_local_mass,local_mass_ratio_q_over_p,log_local_mass_ratio,plot_local_mass_ratio,plotting_floor,q_inside_count,q_total_count,q_mass_reliability,learned_means,learned_scales,learned_weights,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,5000,0.007286759313558214,0.007933933087464647,0.019876654708266835,2.8522205412888635,0.03535533905932738,0.0022772334102807387,5.7220458984375e-05,0.025127182275672316,-3.683805059631549,0.025127182275672316,1e-12,15,262144,weak,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,5000,0.007286759313558214,0.007933933087464647,0.019876654708266835,2.8522205412888635,0.05303300858899108,0.004449036155518283,0.00014495849609375,0.032582000016779654,-3.4239952898231616,0.032582000016779654,1e-12,38,262144,reliable,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,5000,0.007286759313558214,0.007933933087464647,0.019876654708266835,2.8522205412888635,0.07071067811865477,0.006582476004408531,0.000240325927734375,0.03650995880173657,-3.310170211725621,0.03650995880173657,1e-12,63,262144,reliable,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,5000,0.007286759313558214,0.007933933087464647,0.019876654708266835,2.8522205412888635,0.10606601717798216,0.009535010155653875,0.0005645751953125,0.05921075972611626,-2.826652001476752,0.05921075972611626,1e-12,148,262144,reliable,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,exclusive_kl,5000,0.007286759313558214,0.007933933087464647,0.019876654708266835,2.8522205412888635,0.14142135623730953,0.010866800666322632,0.00103759765625,0.09548326946546698,-2.348804235686088,0.09548326946546698,1e-12,272,262144,reliable,"[1.5066864942921208,1.5028654161512431]","[1.0004783830355335,0.9992104533481272]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0006053791737226613,7.265196558914542e-05,9.538928689697969e-05,2.8298614804081366,0.03535533905932738,0.0022772334102807387,0.00209808349609375,0.9213300167746515,-0.0819369825072425,0.9213300167746515,1e-12,550,262144,reliable,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0006053791737226613,7.265196558914542e-05,9.538928689697969e-05,2.8298614804081366,0.05303300858899108,0.004449036155518283,0.004177093505859375,0.938876053115098,-0.06307180729894626,0.938876053115098,1e-12,1095,262144,reliable,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0006053791737226613,7.265196558914542e-05,9.538928689697969e-05,2.8298614804081366,0.07071067811865477,0.006582476004408531,0.006198883056640625,0.9417251278225702,-0.06004184335331556,0.9417251278225702,1e-12,1625,262144,reliable,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0006053791737226613,7.265196558914542e-05,9.538928689697969e-05,2.8298614804081366,0.10606601717798216,0.009535010155653875,0.009082794189453125,0.952573100728938,-0.048588428754004466,0.952573100728938,1e-12,2381,262144,reliable,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,5000,0.0006053791737226613,7.265196558914542e-05,9.538928689697969e-05,2.8298614804081366,0.14142135623730953,0.010866800666322632,0.010478973388671875,0.9643108133148448,-0.036341615886811555,0.9643108133148448,1e-12,2747,262144,reliable,"[[1.5032527383076184,1.5090560831716349],[0.0033000515051602396,0.0016213911702253681]]","[[1.0004321509780068,0.998965477330776],[0.05174283111121382,0.05002545428908362]]","[0.9899239309120327,0.010076069087967416]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,5000,2.869553381473658,0.007916637330318867,0.019557050116722124,2.8519009366973185,0.03535533905932738,0.0022772334102807387,7.62939453125e-05,0.03350290970089642,-3.3961229871797682,0.03350290970089642,1e-12,20,262144,weak,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,5000,2.869553381473658,0.007916637330318867,0.019557050116722124,2.8519009366973185,0.05303300858899108,0.004449036155518283,0.00016021728515625,0.03601168422907225,-3.3239118312661793,0.03601168422907225,1e-12,42,262144,reliable,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,5000,2.869553381473658,0.007916637330318867,0.019557050116722124,2.8519009366973185,0.07071067811865477,0.006582476004408531,0.00026702880859375,0.04056662089081841,-3.2048096960677945,0.04056662089081841,1e-12,70,262144,reliable,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,5000,2.869553381473658,0.007916637330318867,0.019557050116722124,2.8519009366973185,0.10606601717798216,0.009535010155653875,0.000598907470703125,0.0628114140337855,-2.767618469892559,0.0628114140337855,1e-12,157,262144,reliable,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian,inclusive_kl,5000,2.869553381473658,0.007916637330318867,0.019557050116722124,2.8519009366973185,0.14142135623730953,0.010866800666322632,0.0010833740234375,0.099695766647767,-2.3056320638208794,0.099695766647767,1e-12,284,262144,reliable,"[1.5013558425458289,1.4895736381810176]","[1.0002881887973947,1.0052384697985355]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,2.8478756773991263,0.0002516292454299579,0.00019752407609186466,2.8299636151973324,0.03535533905932738,0.0022772334102807387,0.002117156982421875,0.9297057441998757,-0.0728871469873245,0.9297057441998757,1e-12,555,262144,reliable,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,2.8478756773991263,0.0002516292454299579,0.00019752407609186466,2.8299636151973324,0.05303300858899108,0.004449036155518283,0.004180908203125,0.9397334741681711,-0.062158982041586694,0.9397334741681711,1e-12,1096,262144,reliable,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,2.8478756773991263,0.0002516292454299579,0.00019752407609186466,2.8299636151973324,0.07071067811865477,0.006582476004408531,0.006229400634765625,0.9463613130672351,-0.05513084514668836,0.9463613130672351,1e-12,1633,262144,reliable,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,2.8478756773991263,0.0002516292454299579,0.00019752407609186466,2.8299636151973324,0.10606601717798216,0.009535010155653875,0.00911712646484375,0.9561737550366072,-0.044815630315310925,0.9561737550366072,1e-12,2390,262144,reliable,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,5000,2.8478756773991263,0.0002516292454299579,0.00019752407609186466,2.8299636151973324,0.14142135623730953,0.010866800666322632,0.010486602783203125,0.9650128961785616,-0.03561381381683961,0.9650128961785616,1e-12,2749,262144,reliable,"[[1.5169042435410187,1.5050428964354319],[0.0032288567043675716,0.00539506528338042]]","[[0.993676332267101,0.9988701392587785],[0.05082703581533535,0.05082723834513437]]","[0.9898633995403132,0.010136600459686826]",cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian,exclusive_kl,5000,0.007020365108274087,0.0057910201973716095,0.010236878533991562,2.85220580471111,0.07071067811865477,0.002473262585408906,0.000255584716796875,0.10333909480728226,-2.269739515525868,0.10333909480728226,1e-12,67,262144,reliable,"[1.5038401633186607,1.5017225150945033]","[1.0024470989940253,0.9995496891209928]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
0,2,0.01,0.1,diagonal_gaussian,exclusive_kl,5000,0.007020365108274087,0.0057910201973716095,0.010236878533991562,2.85220580471111,0.10606601717798216,0.004891174153963287,0.00058746337890625,0.12010682106467875,-2.1193737566323745,0.12010682106467875,1e-12,154,262144,reliable,"[1.5038401633186607,1.5017225150945033]","[1.0024470989940253,0.9995496891209928]",[1.0],cpu,False,,cpu,cpu,65536,0.0,0.0
