radius_midpoint,prior_slope_mean,prior_slope_sem,posterior_slope_mean,posterior_slope_sem
0.03181914135837434,4.999931028173958,6.146312030917604e-06,4.992283779365156,0.002128503738345618
0.03579504053611035,4.999912758161177,7.796942920793697e-06,4.99024120722835,0.002691373233694209
0.040267740494655674,4.999889642221819,9.888348648961038e-06,4.987660029505376,0.003402323565105171
0.04529931801331967,4.999860394128518,1.253784753272869e-05,4.984399470435295,0.004299853233948659
0.05095960655513347,4.999823386085735,1.5893927771449925e-05,4.980282705927386,0.005432195241072165
0.057327165488240316,4.999776557966574,2.0144516468587182e-05,4.975088078248534,0.006859614152225986
0.06449037041446765,4.999717302402301,2.5527437630102514e-05,4.968538436673524,0.008657145831698127
0.07254863973779399,4.999642319284908,3.234363606499823e-05,4.960288367890938,0.010917802619810846
0.0816138144963029,4.999547431514262,4.097389471312495e-05,4.9499091598873575,0.013756221638966708
0.09181171060836593,4.999427351625099,5.1899962004161877e-05,4.936871515507331,0.01731265188959928
0.10328386507674121,4.999275386132246,6.57312425246043e-05,4.920526350309585,0.021757037624612674
0.1161895003862225,4.999083060866372,8.323849992353351e-05,4.900084545486137,0.027292736368945362
0.13070773435879196,4.998839646016342,0.00010539638874940907,4.874597366680762,0.03415908212384493
0.147040066136943,4.998531553761243,0.00013343708720552733,4.8429404856182305,0.04263154590284044
0.16541317279823442,4.998141573882743,0.00016891786288932944,4.8038061832372225,0.05301766180839778
0.186082055415399,4.997647903096638,0.00021380608672659894,4.755710248209165,0.06564625038044476
0.2093335782262996,4.997022911348891,0.0002705860339836501,4.697021869321391,0.08084698980615816
0.23549045003401217,4.996231572080707,0.00034239278905614585,4.62602546792211,0.09891748378780257
0.2649157030950441,4.99522946221978,0.0004331797058100319,4.541021266233254,0.12007632723153021
0.29801773165835527,4.993960209685205,0.0005479271501090872,4.440464433296828,0.14440403801526516
0.33525596008526287,4.992352229094735,0.000692901611470297,4.323129933262732,0.17177936047709882
0.3771472192182903,4.990314536760863,0.0008759755956681884,4.188274454044257,0.2018250561467923
0.42427291949683593,4.987731369188389,0.0011070197725657253,4.0357565182420165,0.23388132196807884
