dataset,seed,radius,prior_log_mass,posterior_log_mass,prior_mass,posterior_mass
Breast Cancer,3,0.09737899327339176,-19.184229564571435,-7.135978477273769,4.660097041956793e-09,0.0007959465860897079
Breast Cancer,3,0.1095467967638697,-18.595645257629513,-6.573833981699705,8.394868105406283e-09,0.001396433236158968
Breast Cancer,3,0.12323500457160347,-18.00709343959761,-6.018450510710059,1.5122329061516992e-08,0.002433437260264831
Breast Cancer,3,0.1386335958731748,-17.418582741620604,-5.471454591852498,2.7239907766728213e-08,0.004205110986993052
Breast Cancer,3,0.1559562883252034,-16.83012408797181,-4.934810032409935,4.9064793893879474e-08,0.007191827030185557
Breast Cancer,3,0.17544350426014077,-16.241731305576685,-4.410857355329798,8.837017548883849e-08,0.012144761489094226
Breast Cancer,3,0.19736570751731428,-15.653421895744504,-3.9023400797541257,1.5914948872727733e-07,0.0201945991375227
Breast Cancer,3,0.22202715722123137,-15.065218011393474,-3.4124060781429044,2.8658862511726596e-07,0.03296179623044388
Breast Cancer,3,0.24977013060598077,-14.477147694675256,-2.944568977742347,5.160058704568229e-07,0.05262473736176538
Breast Cancer,3,0.2809796734944778,-13.889246444685583,-2.502613384709865,9.28917000760157e-07,0.08187075901078449
Breast Cancer,3,0.3160889443646427,-13.301559203770744,-2.0904314286029657,1.671884367694505e-06,0.12363378515857189
Breast Cancer,3,0.3555852261730161,-12.714142874944734,-1.7117897493060963,3.0082775818182973e-06,0.18054237769243783
Breast Cancer,3,0.4000166893741525,-12.127069513598284,-1.370045967846278,5.411038557329247e-06,0.2540952790716108
Breast Cancer,3,0.45,-11.540430375934221,-1.067855490873606,9.7286990481265e-06,0.3437448916131217
Breast Cancer,4,0.03,-25.531318198652222,-13.37538896212174,8.163744244897858e-12,1.5528960327330598e-06
Breast Cancer,4,0.03374859189280695,-24.94261931918305,-12.789018650521284,1.470815051224174e-11,2.791256652312436e-06
Breast Cancer,4,0.037965581824907835,-24.35392248141069,-12.203266304522234,2.6498778418587257e-11,5.014051412345157e-06
Breast Cancer,4,0.04270949756605945,-23.765228227593553,-11.61829459422592,4.7741110799759274e-11,8.999922477953079e-06
Breast Cancer,4,0.048046180110125715,-23.17653724400931,-11.03430853763925,8.601174630936455e-11,1.6138407988300506e-05
Breast Cancer,4,0.05404969748483107,-22.587850399212318,-10.451566242253106,1.5496057298386557e-10,2.890296877760607e-05
Breast Cancer,4,0.06080337274484124,-21.999168792458896,-9.870392201678708,2.791787683680523e-10,5.168245469349842e-05
Breast Cancer,4,0.06840094041572894,-21.41049381500615,-9.291193652486783,5.029683777978395e-10,9.223290051584816e-05
Breast Cancer,4,0.07694784743915471,-20.821827227711914,-8.714480531787137,9.061400622746177e-10,0.00016419094119776964
Breast Cancer,4,0.08656271667513342,-20.233171259279054,-8.140889567036199,1.6324706079165635e-09,0.0002913778827538467
Breast Cancer,4,0.09737899327339176,-19.644528730649718,-7.571212937431358,2.9409630810494683e-09,0.000515067325132898
Breast Cancer,4,0.1095467967638697,-19.05590321253141,-7.006431711448885,5.298176074353805e-09,0.0009060358243762552
Breast Cancer,4,0.12323500457160347,-18.46729922491385,-6.447753800223417,9.544514695427325e-09,0.0015840763274594324
Breast Cancer,4,0.1386335958731748,-17.87872248982493,-5.896655351546309,1.7193705320907717e-08,0.0027486226383797484
Breast Cancer,4,0.1559562883252034,-17.29018025162005,-5.354923195137845,3.09720624025068e-08,0.004724832373669285
