a_p,a_q,r,mc_p_mass,mc_q_mass,mc_local_mass_ratio,mc_samples,mc_p_count_inside,mc_q_count_inside
0.5,0.5,0.006235507341273912,0.072685,0.07317,1.0066726284652954,200000,14537,14634
0.5,0.5,0.007666822074546214,0.080455,0.08145,1.0123671617674477,200000,16091,16290
0.5,0.5,0.009426684551178854,0.089585,0.090175,1.0065859239828097,200000,17917,18035
0.5,0.5,0.011590510483144828,0.100165,0.09992,0.9975540358408624,200000,20033,19984
0.5,0.5,0.014251026703029978,0.11095,0.110805,0.9986931050022534,200000,22190,22161
0.5,0.5,0.017522244804127837,0.12315,0.12299,0.9987007714169712,200000,24630,24598
0.5,0.5,0.021544346900318846,0.13608,0.135935,0.9989344503233392,200000,27216,27187
0.5,0.5,0.02648969287610527,0.1511,0.15105,0.9996690933156849,200000,30220,30210
0.5,0.5,0.03257020655659783,0.167235,0.16772,1.0029001106227764,200000,33447,33544
0.5,0.5,0.04004645731836127,0.18585,0.18537,0.9974172719935432,200000,37170,37074
0.5,0.5,0.04923882631706741,0.205835,0.20525,0.9971579177496538,200000,41167,41050
0.5,0.5,0.06054123584037269,0.228085,0.22795,0.9994081153955763,200000,45617,45590
0.5,0.5,0.07443803013251689,0.252855,0.2527,0.999387000454806,200000,50571,50540
0.5,0.5,0.09152473108773893,0.28005,0.28015,1.000357079093019,200000,56010,56030
0.5,0.5,0.11253355826007645,0.31062,0.310265,0.9988571244607559,200000,62124,62053
0.5,0.5,0.13836480680324595,0.344075,0.34438,1.0008864346436097,200000,68815,68876
0.5,0.5,0.17012542798525893,0.38106,0.380795,0.9993045714585629,200000,76212,76159
0.5,0.5,0.20917646557569972,0.422275,0.42258,1.0007222781362857,200000,84455,84516
0.5,0.5,0.25719138090593446,0.467265,0.466765,0.9989299433940055,200000,93453,93353
0.5,0.5,0.31622776601683794,0.517475,0.515875,0.9969080631914584,200000,103495,103175
0.5,1.0,0.0001,0.0089,5.5e-05,0.006179775280898876,200000,1780,11
0.5,1.0,0.00012295426265956227,0.00991,7e-05,0.007063572149344096,200000,1982,14
