a_p,a_q,alpha,r,p_mass,q_mass,local_mass_ratio,local_rekl_q_p,local_rekl_p_q,normalised_local_rekl_q_p,normalised_local_rekl_p_q,estimated_MI_p,estimated_MI_q,theoretical_MI_p,theoretical_MI_q,estimated_slope_p,estimated_slope_q,slope_points_p,slope_points_q,mi_preserved_theoretical,mi_preserved_estimated,metrics_match_theoretical_classification,integration_status,integration_message,integration_error_q_p,integration_error_p_q
0.5,0.25,0.3,0.0001,0.009277296076512708,0.0973730980703726,10.495848927026449,0.025369644987964117,0.03627600809082956,2.7345947330701605,0.3725465124321349,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,8.114620086985269e-13,1.0719480858512043e-12
0.5,0.25,0.3,0.00012295426265956227,0.010287105921493464,0.10253564914912713,9.96739509942182,0.026238451536592645,0.03735101925151809,2.5506154730818005,0.3642734947451791,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.179470575709331e-13,4.61460036849104e-12
0.5,0.25,0.3,0.00015117750706156616,0.011406830970957627,0.10797190962646407,9.465548310601433,0.02711843592732674,0.03843284161034862,2.377385620631327,0.35595222630876466,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,7.717715355681776e-13,2.5018667693110785e-12
0.5,0.25,0.3,0.00018587918911465635,0.012648435210200336,0.11369639108507192,8.988968927427592,0.028007949922245524,0.039519301779200516,2.214341098862451,0.3475862461600095,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,7.217906827783338e-13,2.6496860261460142e-12
0.5,0.25,0.3,0.00022854638641349906,0.014025184871959214,0.1197243744802894,8.53638476592607,0.028905156839324403,0.04060803864526788,2.060946583108146,0.3391793761424355,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.0798280592492233e-13,7.51766704443213e-13
0.5,0.25,0.3,0.0002810075242497918,0.01555179018160232,0.12607195092731746,8.106587695380552,0.02980802367362861,0.041696499663889094,1.9166940477946608,0.3307357374673119,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.1793656329306401e-12,2.6437393940703657e-12
0.5,0.25,0.3,0.0003455107294592218,0.017244562530170673,0.13275606464877804,7.698430413442568,0.030714314237598905,0.0427819386046585,1.7811013868204473,0.32225976807796475,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.2010982486376776e-12,3.748591714813898e-12
0.5,0.25,0.3,0.0004248201698162612,0.01912158875405393,0.139794558195906,7.310823383662011,0.03162158363269325,0.04386141509173654,1.6537111031628697,0.3137562409995231,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.5730736985529745e-12,3.203950993402316e-12
0.5,0.25,0.3,0.0005223345074266843,0.0212029243824676,0.14720622006191994,6.942731927282761,0.032527174442951154,0.04493179630489162,1.534089065084221,0.3052302836523605,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.5445492107524217e-12,1.8979540161723207e-12
0.5,0.25,0.3,0.0006422325422229357,0.023510807915912472,0.15501083481122443,6.593173461568317,0.03342821506648386,0.04598976128418003,1.421823324236303,0.2966873982724328,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,6.393705009877237e-13,2.466235549114515e-12
0.5,0.25,0.3,0.0007896522868499724,0.026069898422410944,0.16322923585276905,6.261214877325695,0.03432162073231669,0.04703180831119947,1.3165229943056536,0.2881334833523428,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.2760278944590198e-12,1.9336685030957312e-12
0.5,0.25,0.3,0.0009709111468707553,0.028907538985621796,0.17188336098969972,5.94597004868495,0.035204097772182065,0.048054265960709525,1.2178171856722944,0.2795748563677971,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.837902218251088e-13,3.3028649260025134e-12
0.5,0.25,0.3,0.0011937766417144358,0.03205404881207409,0.18099631087967577,5.6465974685699685,0.03607215185480639,0.049053308436796596,1.1253539940083563,0.2710182776565356,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.4117387814316373e-12,2.1895818491657337e-12
0.5,0.25,0.3,0.0014677992676220704,0.03554304710581127,0.19059241053976309,5.362298003667821,0.03692210098420572,0.050024975952953084,1.0387995400138041,0.26247097568723193,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.1603565330808863e-12,2.5935642522512126e-12
0.5,0.25,0.3,0.0018047217668271701,0.03941181214950347,0.2006972740248289,5.09231276307495,0.037750094189763106,0.05096520096395275,0.9578370577471328,0.2539406736418736,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.7894435933030195e-12,7.710429517082673e-13
