experiment_name,dataset,dataset_source,model_type,dimension,a,centre_type,centre_value,alpha,random_seed,device,posterior_approximation_method,prior_kappa_theoretical,prior_kappa_estimated,posterior_kappa_estimated,expected_kappa,prior_MI_theoretical,prior_MI_estimated,posterior_MI_estimated,expected_MI,posterior_kappa_error,prior_fit_reliable,posterior_fit_reliable,prior_fit_r2,posterior_fit_r2,fit_radius_min,fit_radius_max,num_fit_points,local_integration_method,local_scale,grad_norm_log_likelihood,hessian_scale_log_likelihood,eps_likelihood,radius_selection_reliable,radius_selection_reason,selected_radius_indices,local_slope_std,curvature_score,reason_if_unreliable,prior_reason_if_unreliable
EXP1,breast_cancer,synthetic_fallback,Bayesian logistic regression,1,1.0,zero,[0.0],0.5,0,numpy-cpu,deterministic local radial-direction quadrature,1.0,1.0109647272009117,1.011019537209738,1.0,1.0,0.9891541941020335,0.9891005694705464,1.0,0.011019537209737917,False,False,0.9983441987129577,0.998343794269408,1.1415234896375318e-06,0.0005402848534344108,8,local radial-direction quadrature over B_r,0.11415234896375318,92.50940774397327,127.21962651300116,0.05,True,local-likelihood derivative criterion satisfied,"[0, 1, 2, 3, 4, 5, 6, 7]",0.19277645138039562,0.4027751730576157,curvature_score=0.4028 exceeds 0.25,curvature_score=0.4028 exceeds 0.25
EXP1,breast_cancer,synthetic_fallback,Bayesian logistic regression,1,1.0,nonzero,[-0.86489407],0.5,0,numpy-cpu,deterministic local radial-direction quadrature,1.0,0.9609239320090917,0.9610973808725813,1.0,1.0,1.0406651002116354,1.0404772917933653,1.0,0.03890261912741866,True,True,0.999999822697079,0.999999767306469,4.991528682536953e-06,0.0018248553483355403,5,local radial-direction quadrature over B_r,0.11415234896375318,0.09609934151842009,76.63038984959537,0.05,True,local-likelihood derivative criterion satisfied,"[1, 2, 3, 4, 5]",0.0009360954626514472,0.0017788845476853776,,
